row_type,occurrence_id,activity_name,status,created_at,occurrence,receipts,evidence_references,source_events,manifest
manifest,,,,,,,,,"{""total"":1001,""source"":""Haven operation occurrence/receipt/evidence ledger"",""filters"":{""activity_id"":""6dd15479-1656-4385-866a-72ea70cc9b24"",""facility_id"":""f2b19452-966e-4909-bfca-3a658419e3d7""},""complete"":true,""coverage"":""Authorized non-deleted occurrences across all requirement versions; all correction and verification receipts; readable evidence metadata only; native files require their own authorization"",""snapshot_id"":""2976:2976:"",""generated_at"":""2026-09-13T02:12:06.602359+00:00"",""receipt_total"":3,""evidence_total"":1,""schema_version"":1}"
occurrence,f790a56c-6d4c-4852-b5e3-4b59ded00035,col151-fa3f27672f1c admin,completed,2026-09-13T02:10:51.255105+00:00,"{""id"":""f790a56c-6d4c-4852-b5e3-4b59ded00035"",""due_at"":""2026-09-13T03:00:00+00:00"",""status"":""completed"",""created_at"":""2026-09-13T02:10:51.255105+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":""2026-09-13T02:10:53.945465+00:00"",""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""completed"",""effective_receipt_id"":""2b51c5ee-831d-4b2f-ab47-6fcc8f99c834"",""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}","[{""id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""note"":""col151-fa3f27672f1c admin"",""values"":{},""outcome"":""performed"",""chain_id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""revision"":""570804bf5baf219c2c205ba0a043ddee9891df110346aa89ee20f68fa8e627a7"",""entry_kind"":""routine"",""source_key"":null,""recorded_at"":""2026-09-13T02:10:53.945465+00:00"",""recorder_id"":""c55df657-3956-4686-b62a-f90749e0df46"",""entry_reason"":null,""performed_at"":""2026-09-13T02:10:53.945465+00:00"",""receipt_kind"":""performance"",""superseded_at"":""2026-09-13T02:11:13.442694+00:00"",""correction_seq"":0,""performer_kind"":""self"",""evidence_status"":""missing"",""performer_label"":null,""source_event_id"":null,""completion_state"":""performed_missing_evidence"",""source_record_id"":null,""correction_reason"":null,""performer_user_id"":null,""corrects_receipt_id"":null,""performer_vendor_id"":null,""verifies_receipt_id"":null,""evidence_satisfied_at"":""2026-09-13T02:11:00.210042+00:00"",""source_record_version"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""evidence_status_current"":""complete"",""superseded_by_receipt_id"":""24d27c76-0e0c-461b-85cd-210446644b76"",""verified_receipt_revision"":null},{""id"":""24d27c76-0e0c-461b-85cd-210446644b76"",""note"":""correction-before-snapshot"",""values"":{},""outcome"":""performed"",""chain_id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""revision"":""97a912b1242c25ecdb518eda3dabaaf7d48be8569be1d87cf663986ca675089f"",""entry_kind"":""routine"",""source_key"":null,""recorded_at"":""2026-09-13T02:11:13.442694+00:00"",""recorder_id"":""c55df657-3956-4686-b62a-f90749e0df46"",""entry_reason"":null,""performed_at"":""2026-09-13T02:10:53.945465+00:00"",""receipt_kind"":""performance"",""superseded_at"":""2026-09-13T02:11:43.399858+00:00"",""correction_seq"":1,""performer_kind"":""self"",""evidence_status"":""complete"",""performer_label"":null,""source_event_id"":null,""completion_state"":""completed"",""source_record_id"":null,""correction_reason"":""Synthetic export correction proof"",""performer_user_id"":null,""corrects_receipt_id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""performer_vendor_id"":null,""verifies_receipt_id"":null,""evidence_satisfied_at"":null,""source_record_version"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""evidence_status_current"":""complete"",""superseded_by_receipt_id"":""2b51c5ee-831d-4b2f-ab47-6fcc8f99c834"",""verified_receipt_revision"":null},{""id"":""2b51c5ee-831d-4b2f-ab47-6fcc8f99c834"",""note"":""correction-after-snapshot"",""values"":{},""outcome"":""performed"",""chain_id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""revision"":""d4ee2d1b1ea9d8034a0b397b5c93ec7613db38ddc74415ee26ea47b886ce5256"",""entry_kind"":""routine"",""source_key"":null,""recorded_at"":""2026-09-13T02:11:43.399858+00:00"",""recorder_id"":""c55df657-3956-4686-b62a-f90749e0df46"",""entry_reason"":null,""performed_at"":""2026-09-13T02:10:53.945465+00:00"",""receipt_kind"":""performance"",""superseded_at"":null,""correction_seq"":2,""performer_kind"":""self"",""evidence_status"":""complete"",""performer_label"":null,""source_event_id"":null,""completion_state"":""completed"",""source_record_id"":null,""correction_reason"":""Synthetic export correction proof"",""performer_user_id"":null,""corrects_receipt_id"":""24d27c76-0e0c-461b-85cd-210446644b76"",""performer_vendor_id"":null,""verifies_receipt_id"":null,""evidence_satisfied_at"":null,""source_record_version"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""evidence_status_current"":""complete"",""superseded_by_receipt_id"":null,""verified_receipt_revision"":null}]","[{""id"":""65bb8c8e-3b1e-463a-9f28-78dcb6915060"",""state"":""finalized"",""revision"":""9301db62d2a5f1fd1074cecd7784be35d6d71063101b817d7894085a74e7c09c"",""receipt_id"":""8c87f5d2-0a87-4b7a-8046-75ca92f118b1"",""rule_label"":""Panel photo"",""object_etag"":""\""b357a19c87624c7c4d131aeeb4ae677f\"""",""object_mime"":""image/png"",""prepared_at"":""2026-09-13T02:10:55.154108+00:00"",""uploaded_at"":""2026-09-13T02:10:58.225793+00:00"",""uploaded_by"":""c55df657-3956-4686-b62a-f90749e0df46"",""finalized_at"":""2026-09-13T02:11:00.203562+00:00"",""finalized_by"":""c55df657-3956-4686-b62a-f90749e0df46"",""linked_table"":null,""evidence_kind"":""photo"",""object_version"":""98898c25-bf8d-46f3-a413-7d26c87b8356"",""checksum_method"":""storage_etag_md5"",""linked_record_id"":null,""checksum_verified"":true,""object_size_bytes"":70}]",[],
occurrence,0173115d-29f1-4554-9670-26d7a0980cfd,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""0173115d-29f1-4554-9670-26d7a0980cfd"",""due_at"":""2027-03-14T04:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,076dd212-5429-4516-856f-99b5690a8ff9,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""076dd212-5429-4516-856f-99b5690a8ff9"",""due_at"":""2027-02-21T04:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,08c91f4a-4f41-44c6-ad2d-abcd89590690,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""08c91f4a-4f41-44c6-ad2d-abcd89590690"",""due_at"":""2028-08-06T03:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,09fd3f90-b9c6-42eb-961a-1fe07e5c58b2,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""09fd3f90-b9c6-42eb-961a-1fe07e5c58b2"",""due_at"":""2027-12-26T04:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,0d9c7ff6-ec85-45eb-8f76-3b2e0eebf586,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""0d9c7ff6-ec85-45eb-8f76-3b2e0eebf586"",""due_at"":""2028-04-23T03:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,0e79a124-3bea-4b37-9cb5-f5a7bc024e23,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""0e79a124-3bea-4b37-9cb5-f5a7bc024e23"",""due_at"":""2028-03-26T03:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,135af891-1883-46ae-bf2a-5f2d55127741,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""135af891-1883-46ae-bf2a-5f2d55127741"",""due_at"":""2026-11-01T03:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
occurrence,168a5b5a-dabf-42ae-8c55-03078e71dc69,col151-fa3f27672f1c admin,pending,2026-09-13T02:11:06.448738+00:00,"{""id"":""168a5b5a-dabf-42ae-8c55-03078e71dc69"",""due_at"":""2028-06-11T03:00:00+00:00"",""status"":""pending"",""created_at"":""2026-09-13T02:11:06.448738+00:00"",""subject_id"":""56f3cf25-84ad-4746-934d-a50e371bf561"",""performed_at"":null,""activity_name"":""col151-fa3f27672f1c admin"",""authority_class"":""facility"",""execution_state"":""none"",""effective_receipt_id"":null,""requirement_version_id"":""7954828e-2856-44ae-8a51-5b4d32ed3c93"",""facility_requirement_id"":""a7da2d96-da69-43b4-bc16-950864034a4f""}",[],[],[],
