enum_name,value,sort_order
acuity_level,level_1,1
acuity_level,level_2,2
acuity_level,level_3,3
admission_case_status,pending_clearance,1
admission_case_status,bed_reserved,2
admission_case_status,move_in,3
admission_case_status,cancelled,4
bed_status,available,1
bed_status,occupied,2
bed_status,hold,3
bed_status,maintenance,4
bed_status,offline,5
bed_type,alf_intermediate,1
bed_type,memory_care,2
bed_type,independent_living,3
discharge_reason,higher_level_of_care,1
discharge_reason,hospital_permanent,2
discharge_reason,another_alf,3
discharge_reason,home,4
discharge_reason,death,5
discharge_reason,non_payment,6
discharge_reason,behavioral,7
discharge_reason,other,8
discharge_reason,resident_voluntary,9
discharge_reason,facility_with_cause,10
discharge_reason,facility_immediate,11
discharge_reason,medicaid_relocation,12
facility_status,active,1
facility_status,inactive,2
facility_status,under_renovation,3
facility_status,archived,4
hospice_status,none,1
hospice_status,pending,2
hospice_status,active,3
hospice_status,ended,4
org_status,active,1
org_status,suspended,2
org_status,archived,3
payer_type,private_pay,1
payer_type,medicaid_oss,2
payer_type,ltc_insurance,3
payer_type,va_aid_attendance,4
payer_type,other,5
resident_status,inquiry,1
resident_status,pending_admission,2
resident_status,active,3
resident_status,hospital_hold,4
resident_status,loa,5
resident_status,discharged,6
resident_status,deceased,7
room_type,private,1
room_type,semi_private,2
room_type,shared,3
