table_name,column_name,data_type,is_nullable,column_default
admission_case_rate_terms,id,uuid,NO,gen_random_uuid()
admission_case_rate_terms,admission_case_id,uuid,NO,null
admission_case_rate_terms,rate_schedule_id,uuid,YES,null
admission_case_rate_terms,accommodation_type,USER-DEFINED,NO,null
admission_case_rate_terms,quoted_base_rate_cents,integer,NO,null
admission_case_rate_terms,quoted_care_surcharge_cents,integer,NO,0
admission_case_rate_terms,effective_date,date,YES,null
admission_case_rate_terms,notes,text,YES,null
admission_case_rate_terms,created_at,timestamp with time zone,NO,now()
admission_case_rate_terms,created_by,uuid,YES,null
admission_cases,id,uuid,NO,gen_random_uuid()
admission_cases,organization_id,uuid,NO,null
admission_cases,facility_id,uuid,NO,null
admission_cases,resident_id,uuid,NO,null
admission_cases,referral_lead_id,uuid,YES,null
admission_cases,bed_id,uuid,YES,null
admission_cases,status,USER-DEFINED,NO,'pending_clearance'::admission_case_status
admission_cases,target_move_in_date,date,YES,null
admission_cases,financial_clearance_at,timestamp with time zone,YES,null
admission_cases,financial_clearance_by,uuid,YES,null
admission_cases,physician_orders_received_at,timestamp with time zone,YES,null
admission_cases,physician_orders_summary,text,YES,null
admission_cases,notes,text,YES,null
admission_cases,created_at,timestamp with time zone,NO,now()
admission_cases,updated_at,timestamp with time zone,NO,now()
admission_cases,created_by,uuid,YES,null
admission_cases,updated_by,uuid,YES,null
admission_cases,deleted_at,timestamp with time zone,YES,null
beds,id,uuid,NO,gen_random_uuid()
beds,room_id,uuid,NO,null
beds,facility_id,uuid,NO,null
beds,organization_id,uuid,NO,null
beds,bed_label,text,NO,null
beds,bed_type,USER-DEFINED,NO,'alf_intermediate'::bed_type
beds,status,USER-DEFINED,NO,'available'::bed_status
beds,current_resident_id,uuid,YES,null
beds,created_at,timestamp with time zone,NO,now()
beds,updated_at,timestamp with time zone,NO,now()
beds,created_by,uuid,YES,null
beds,updated_by,uuid,YES,null
beds,deleted_at,timestamp with time zone,YES,null
beds,standup_availability_class,USER-DEFINED,YES,null
beds,is_temporarily_blocked,boolean,NO,false
beds,blocked_reason,text,YES,null
facilities,id,uuid,NO,gen_random_uuid()
facilities,entity_id,uuid,NO,null
facilities,organization_id,uuid,NO,null
facilities,name,text,NO,null
facilities,license_number,text,YES,null
facilities,license_type,USER-DEFINED,NO,'alf_intermediate'::bed_type
facilities,status,USER-DEFINED,NO,'active'::facility_status
facilities,address_line_1,text,NO,null
facilities,address_line_2,text,YES,null
